preproduction payer_id,payer_name,payer_country,payer_service,payer_currency,transaction_type
2754,DBS Bank (Hong Kong) Limited,Hong Kong,BankAccount,CNY,B2C
2754,DBS Bank (Hong Kong) Limited,Hong Kong,BankAccount,CNY,B2B
2752,Hang Seng Bank Ltd.,Hong Kong,BankAccount,CNY,B2C
2752,Hang Seng Bank Ltd.,Hong Kong,BankAccount,CNY,C2C
2752,Hang Seng Bank Ltd.,Hong Kong,BankAccount,CNY,B2B
2756,Industrial and Commercial Bank of China (Asia),Hong Kong,BankAccount,CNY,C2C
2756,Industrial and Commercial Bank of China (Asia),Hong Kong,BankAccount,CNY,B2C
2756,Industrial and Commercial Bank of China (Asia),Hong Kong,BankAccount,CNY,B2B
2757,Nanyang Commercial Bank,Hong Kong,BankAccount,CNY,C2C
2757,Nanyang Commercial Bank,Hong Kong,BankAccount,CNY,B2B
2757,Nanyang Commercial Bank,Hong Kong,BankAccount,CNY,B2C
2748,Standard Chartered Bank (Hong Kong) Limited,Hong Kong,BankAccount,CNY,B2C
2748,Standard Chartered Bank (Hong Kong) Limited,Hong Kong,BankAccount,CNY,C2C
2748,Standard Chartered Bank (Hong Kong) Limited,Hong Kong,BankAccount,CNY,B2B
2749,The Hongkong and Shanghai Banking Corporation Limited,Hong Kong,BankAccount,CNY,B2B
2749,The Hongkong and Shanghai Banking Corporation Limited,Hong Kong,BankAccount,CNY,C2C
2749,The Hongkong and Shanghai Banking Corporation Limited,Hong Kong,BankAccount,CNY,B2C
2745,Agricultural Bank of China Limited,Hong Kong,BankAccount,HKD,C2C
2745,Agricultural Bank of China Limited,Hong Kong,BankAccount,HKD,B2C
2745,Agricultural Bank of China Limited,Hong Kong,BankAccount,HKD,B2B
2747,Bank of China ( Hong Kong ) Limited,Hong Kong,BankAccount,HKD,C2C
2747,Bank of China ( Hong Kong ) Limited,Hong Kong,BankAccount,HKD,B2B
2747,Bank of China ( Hong Kong ) Limited,Hong Kong,BankAccount,HKD,B2C
2744,China Construction Bank (Asia) Corporation Limited,Hong Kong,BankAccount,HKD,B2C
2744,China Construction Bank (Asia) Corporation Limited,Hong Kong,BankAccount,HKD,C2C
2744,China Construction Bank (Asia) Corporation Limited,Hong Kong,BankAccount,HKD,B2B
2746,"China Minsheng Banking Corp., Ltd",Hong Kong,BankAccount,HKD,C2C
2746,"China Minsheng Banking Corp., Ltd",Hong Kong,BankAccount,HKD,B2B
2746,"China Minsheng Banking Corp., Ltd",Hong Kong,BankAccount,HKD,B2C
2739,Chong Hing Bank Limited,Hong Kong,BankAccount,HKD,B2B
2739,Chong Hing Bank Limited,Hong Kong,BankAccount,HKD,B2C
2739,Chong Hing Bank Limited,Hong Kong,BankAccount,HKD,C2C
2737,Citibank (Hong Kong) Limited,Hong Kong,BankAccount,HKD,B2C
